feature,future_minus_current_glucose_z_coefficient,hyperglycemia_logit_coefficient,max_absolute_coefficient
glucose_slope_24h_mg_dl_per_hour,-0.0801301573033262,-0.005476537122851215,0.0801301573033262
ehr_urea_nitrogen_age_hours,-0.02415164154090474,-0.0801058241610542,0.0801058241610542
ehr_creatinine_age_hours,-0.04609921805898956,-0.07964629763312042,0.07964629763312042
ehr_hemoglobin_last,0.07912572972056,0.0778336038565864,0.07912572972056
age_years,0.07297794329985223,0.07858644675936155,0.07858644675936155
current_glucose_mg_dl,-0.07772322766341597,0.07852865834656178,0.07852865834656178
glucose_min_24h,-0.07587321565744992,0.07847096623766461,0.07847096623766461
glucose_mean_24h,-0.07290777584239685,0.0782055410753778,0.0782055410753778
glucose_max_24h,-0.06888525029317186,0.07800304547098318,0.07800304547098318
glucose_count_24h,0.01187383065114599,-0.07798533721349343,0.07798533721349343
previous_glucose_mg_dl,-0.07269719424156258,0.07796794061243396,0.07796794061243396
hours_since_previous_glucose,0.06621952954306314,0.07793859424614114,0.07793859424614114
ehr_sodium_last,0.07789145843294237,0.06545082290350594,0.07789145843294237
ehr_white_blood_cells_last,-0.027289687524993535,-0.0775631135306385,0.0775631135306385
ehr_potassium_age_hours,0.07361421660969307,0.07728262191948417,0.07728262191948417
ehr_bicarbonate_age_hours,0.02750038652480529,0.07720494071823662,0.07720494071823662
ehr_urea_nitrogen_last,0.030920905553587185,0.07713282277869186,0.07713282277869186
ehr_creatinine_last,0.010191662429216142,0.07707895320934849,0.07707895320934849
glucose_std_24h,-0.030171880043120033,0.07704901569383396,0.07704901569383396
ehr_hemoglobin_available,0.05160855569782201,-0.07703128001120071,0.07703128001120071
ehr_lactate_last,-0.0753684033051845,0.0769891290291737,0.0769891290291737
ehr_magnesium_available,0.022219984132983147,0.0759491166775962,0.0759491166775962
ehr_sodium_age_hours,-0.01232568627564604,0.0757720352831179,0.0757720352831179
sex_female,-0.07571347458106764,0.06067248204009019,0.07571347458106764
ehr_potassium_last,-0.05255869558376971,-0.07539726221337792,0.07539726221337792
hours_since_admission,0.06624264706224883,0.07507175271753055,0.07507175271753055
ehr_albumin_available,0.016831515575748177,-0.07482002960118433,0.07482002960118433
ehr_creatinine_available,-0.010442256959203847,0.07425274690960759,0.07425274690960759
ehr_urea_nitrogen_available,-0.010442256959203847,0.07425274690960759,0.07425274690960759
ehr_magnesium_age_hours,-0.019157720090255896,0.07417510184690154,0.07417510184690154
ehr_lactate_available,-0.00892651606767199,-0.07412628469974542,0.07412628469974542
ehr_bicarbonate_available,0.013343636307223851,0.07333175210520831,0.07333175210520831
ehr_sodium_available,0.012592778882013052,0.07290280190558641,0.07290280190558641
ehr_potassium_available,0.012592778882013052,0.07290280190558641,0.07290280190558641
ehr_white_blood_cells_available,-0.016122730759713745,-0.07221554815944786,0.07221554815944786
ehr_bicarbonate_last,0.022728399260856562,0.07086923943266177,0.07086923943266177
ehr_magnesium_last,-0.061365211279115386,-0.06994444890817088,0.06994444890817088
ehr_albumin_age_hours,-0.06041802581444814,-0.0653520897344331,0.0653520897344331
ehr_lactate_age_hours,-0.06248753729527046,0.06507840812348434,0.06507840812348434
ehr_albumin_last,-0.06257768635118484,-0.04393153828120443,0.06257768635118484
ehr_white_blood_cells_age_hours,-0.05609944390884598,0.058166846485300246,0.058166846485300246
ehr_hemoglobin_age_hours,-0.051405988704279246,0.053498387593382525,0.053498387593382525
