patient_id,condition,eeg_rows,bvp_rows,eda_rows,temperature_rows,overlap_seconds,windows_kept,windows_used_after_balancing
cogwear_00,baseline,48072,12944,807,805,187.53800010681152,5,5
cogwear_00,cognitive_load,70980,19136,1194,1198,277.1710000038147,6,5
cogwear_01,baseline,29844,7461,467,467,116.5,3,3
cogwear_01,cognitive_load,55102,14656,916,916,228.75,6,3
cogwear_02,baseline,46440,11611,726,726,181.25,5,5
cogwear_02,cognitive_load,70956,17737,1109,1109,277.0,6,5
cogwear_04,baseline,46775,11691,731,731,182.49799990653992,5,5
cogwear_04,cognitive_load,67512,16880,1055,1055,263.5,6,5
cogwear_05,baseline,30832,7709,481,481,120.0,3,3
cogwear_05,cognitive_load,71232,17799,1113,1113,278.0,6,3
cogwear_06,baseline,46416,11604,725,725,181.0,5,5
cogwear_06,cognitive_load,78540,19638,1228,1228,306.710000038147,6,5
cogwear_07,baseline,31800,7950,497,497,124.0,3,3
cogwear_07,cognitive_load,62664,15667,979,979,244.5,6,3
cogwear_08,baseline,47064,11766,735,735,183.5,5,5
cogwear_08,cognitive_load,68556,17138,1072,1072,267.7239999771118,6,5
cogwear_09,baseline,31116,7778,487,487,121.48800015449524,3,3
cogwear_09,cognitive_load,73380,18343,1147,1147,286.5,6,3
cogwear_10,baseline,31896,7973,498,498,124.25,3,3
cogwear_10,cognitive_load,62748,15686,980,980,244.75,6,3
