model,horizon_minutes,rmse_mg_dl,mae_mg_dl,mase_vs_persistence
persistence,30,17.397,11.309,11.309
linear_ridge,30,12.825,8.527,0.754
decision_tree,30,14.898,10.024,0.886
random_forest,30,13.239,8.749,0.774
gradient_boosting,30,12.481,8.17,0.722
mlp,30,12.614,8.39,0.742
neuroglycemic_net,30,12.987,8.702,0.769
persistence,60,26.788,17.527,17.527
linear_ridge,60,22.17,15.027,0.857
decision_tree,60,23.969,16.206,0.925
random_forest,60,22.448,15.169,0.865
gradient_boosting,60,21.65,14.66,0.836
mlp,60,21.77,15.102,0.862
neuroglycemic_net,60,22.175,14.888,0.849
persistence,90,32.644,21.801,21.801
linear_ridge,90,26.914,18.832,0.864
decision_tree,90,28.273,19.828,0.909
random_forest,90,26.913,18.818,0.863
gradient_boosting,90,26.447,18.55,0.851
mlp,90,26.659,18.52,0.85
neuroglycemic_net,90,26.898,18.661,0.856
persistence,120,36.452,24.854,24.854
linear_ridge,120,29.445,21.125,0.85
decision_tree,120,30.296,21.793,0.877
random_forest,120,29.292,21.008,0.845
gradient_boosting,120,28.713,20.709,0.833
mlp,120,29.339,21.108,0.849
neuroglycemic_net,120,29.055,20.7,0.833
