horizon_minutes,scenario,n_labelled,n_predicted,n_patients,prediction_coverage,abstention_rate,mae_mg_dl,rmse_mg_dl,mard_percent,patient_macro_mae_mg_dl,patient_macro_rmse_mg_dl,patient_macro_mard_percent,n_paired_with_reference,paired_delta_mae_mg_dl,paired_delta_rmse_mg_dl
30,observed_modalities,7404,7404,7,1.0,0.0,8.70156523912163,12.987271770659943,8.450146134448179,8.74067709468523,12.806536103986295,8.39797784900206,7404,0.0,0.0
30,without_cgm,7404,3723,7,0.502836304700162,0.49716369529983795,26.494696942702628,34.09247648008516,25.683140894710142,26.754334447553212,33.423459722581995,26.39592011140809,3723,15.708501965904185,18.700134879392348
30,without_events,7404,7404,7,1.0,0.0,8.876312006492347,13.325529515344087,8.574203230546454,8.919837343861317,13.142170350653254,8.526617360270054,7404,0.17474676737071704,0.33825774468414416
30,all_unavailable,7404,0,0,0.0,1.0,,,,,,,0,,
60,observed_modalities,7390,7390,7,1.0,0.0,14.888269735189187,22.175406982719814,14.139985034174613,14.988240891539458,21.87139778323434,14.081077237081335,7390,0.0,0.0
60,without_cgm,7390,3721,7,0.5035182679296346,0.4964817320703654,25.795804223396612,33.23852522543277,25.871330994460106,26.047629529637856,32.33268185134803,26.60432129588334,3721,8.514777382674062,9.199353862245122
60,without_events,7390,7390,7,1.0,0.0,15.122514913143421,22.57283146553874,14.299691475768258,15.229229107218101,22.27177898974809,14.246986864794797,7390,0.23424517795423405,0.39742448281892706
60,all_unavailable,7390,0,0,0.0,1.0,,,,,,,0,,
90,observed_modalities,7376,7376,7,1.0,0.0,18.660620764899924,26.897517722966104,17.81148303979279,18.798052743793814,26.431308390657126,17.750828238662233,7376,0.0,0.0
90,without_cgm,7376,3719,7,0.5042028199566161,0.4957971800433839,25.37132251387676,32.63612445443993,26.387221828559763,25.63620617561884,31.720815005625983,27.153290754718295,3719,4.865053060459303,4.905489368502618
90,without_events,7376,7376,7,1.0,0.0,18.93448528912476,27.256968438742945,18.018908897269398,19.076124832827304,26.790923871133316,17.964184313222813,7376,0.27386452422483387,0.3594507157768412
90,all_unavailable,7376,0,0,0.0,1.0,,,,,,,0,,
120,observed_modalities,7362,7362,7,1.0,0.0,20.700212342879656,29.054695247195045,20.13730895650106,20.8229649125893,28.415134963166928,20.032537217867716,7362,0.0,0.0
120,without_cgm,7362,3717,7,0.5048899755501223,0.49511002444987773,25.158522084800346,32.29548705389216,26.849706411583462,25.43628401360863,31.540867656818698,27.64931764861912,3717,3.3954239014755636,3.3703023718944713
120,without_events,7362,7362,7,1.0,0.0,21.285514986472943,29.69308772594127,20.70262311947788,21.417446112785353,29.04748503440049,20.613292714855355,7362,0.5853026435932875,0.6383924787462263
120,all_unavailable,7362,0,0,0.0,1.0,,,,,,,0,,
