model,horizon_minutes,rmse_mg_dl,mae_mg_dl
persistence,30,17.747,11.198
linear_ridge,30,16.821,11.1
decision_tree,30,17.61,11.373
random_forest,30,17.078,11.165
gradient_boosting,30,17.158,11.181
mlp,30,16.729,10.894
persistence,60,24.872,15.467
linear_ridge,60,22.719,15.281
decision_tree,60,23.729,15.724
random_forest,60,23.166,15.381
gradient_boosting,60,23.146,15.378
mlp,60,22.554,14.835
persistence,90,29.52,18.487
linear_ridge,90,25.707,17.742
decision_tree,90,26.626,18.036
random_forest,90,26.32,17.971
gradient_boosting,90,26.321,17.864
mlp,90,25.334,17.082
persistence,120,32.433,20.72
linear_ridge,120,27.064,19.085
decision_tree,120,27.79,19.395
random_forest,120,27.75,19.359
gradient_boosting,120,27.431,19.056
mlp,120,26.756,18.608
